Latitude (decimal degrees):	50.062
Longitude (decimal degrees):	19.937
Elevation (m):	218
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,11.93,4.21,0.0
20230101:0110,0.0,0.0,0.0,0.0,12.11,4.07,0.0
20230101:0210,0.0,0.0,0.0,0.0,12.23,4.07,0.0
20230101:0310,0.0,0.0,0.0,0.0,12.23,4.07,0.0
20230101:0410,0.0,0.0,0.0,0.0,12.05,4.0,0.0
20230101:0510,0.0,0.0,0.0,0.0,11.65,3.79,0.0
20230101:0610,0.0,0.0,0.0,0.0,11.2,3.59,0.0
20230101:0710,5.0,15.89,0.0,3.11,9.68,2.97,0.0
20230101:0810,3.0,57.0,0.0,9.48,9.79,2.9,0.0
20230101:0910,81.01,98.0,0.0,14.09,10.93,2.48,0.0
20230101:1010,208.01,60.0,0.0,16.57,12.53,2.14,0.0
20230101:1110,199.01,65.0,0.0,16.68,13.71,2.07,0.0
20230101:1210,171.01,55.0,0.0,14.41,14.5,2.07,0.0
20230101:1310,57.0,64.0,0.0,9.99,14.23,2.14,0.0
20230101:1410,8.0,20.1,0.0,3.77,13.06,2.62,0.0
20230101:1510,0.0,0.0,0.0,0.0,11.07,2.9,0.0
20230101:1610,0.0,0.0,0.0,0.0,9.54,2.9,0.0
20230101:1710,0.0,0.0,0.0,0.0,8.31,2.83,0.0
20230101:1810,0.0,0.0,0.0,0.0,7.57,2.76,0.0
20230101:1910,0.0,0.0,0.0,0.0,7.26,2.69,0.0
20230101:2010,0.0,0.0,0.0,0.0,6.64,2.55,0.0
20230101:2110,0.0,0.0,0.0,0.0,5.88,2.41,0.0
20230101:2210,0.0,0.0,0.0,0.0,5.04,2.14,0.0
20230101:2310,0.0,0.0,0.0,0.0,4.15,1.93,0.0
20230102:0010,0.0,0.0,0.0,0.0,3.27,1.86,0.0
20230102:0110,0.0,0.0,0.0,0.0,2.75,1.79,0.0
20230102:0210,0.0,0.0,0.0,0.0,2.43,1.72,0.0
20230102:0310,0.0,0.0,0.0,0.0,2.16,1.66,0.0
20230102:0410,0.0,0.0,0.0,0.0,1.6,1.66,0.0
20230102:0510,0.0,0.0,0.0,0.0,1.78,1.31,0.0
20230102:0610,0.0,0.0,0.0,0.0,2.55,0.9,0.0
20230102:0710,7.0,16.37,0.0,3.13,2.81,1.17,0.0
20230102:0810,61.01,59.0,0.0,9.51,2.86,1.31,0.0
20230102:0910,41.0,111.0,0.0,14.14,5.03,1.17,0.0
20230102:1010,194.01,69.0,0.0,16.64,7.47,1.1,0.0
20230102:1110,211.01,61.0,0.0,16.77,9.21,0.83,0.0
20230102:1210,187.01,49.0,0.0,14.52,10.33,0.9,0.0
20230102:1310,104.01,43.0,0.0,10.11,10.62,1.31,0.0
20230102:1410,9.0,19.94,0.0,3.89,9.91,1.59,0.0
20230102:1510,0.0,0.0,0.0,0.0,8.12,1.79,0.0
20230102:1610,0.0,0.0,0.0,0.0,6.42,2.14,0.0
20230102:1710,0.0,0.0,0.0,0.0,5.74,2.62,0.0
20230102:1810,0.0,0.0,0.0,0.0,5.73,2.76,0.0
20230102:1910,0.0,0.0,0.0,0.0,6.07,2.9,0.0
20230102:2010,0.0,0.0,0.0,0.0,6.16,3.1,0.0
20230102:2110,0.0,0.0,0.0,0.0,6.58,3.31,0.0
20230102:2210,0.0,0.0,0.0,0.0,6.75,3.66,0.0
20230102:2310,0.0,0.0,0.0,0.0,6.54,3.72,0.0
20230103:0010,0.0,0.0,0.0,0.0,6.74,3.59,0.0
20230103:0110,0.0,0.0,0.0,0.0,6.93,3.59,0.0
20230103:0210,0.0,0.0,0.0,0.0,7.04,3.59,0.0
20230103:0310,0.0,0.0,0.0,0.0,7.04,3.72,0.0
20230103:0410,0.0,0.0,0.0,0.0,7.17,3.72,0.0
20230103:0510,0.0,0.0,0.0,0.0,7.64,3.66,0.0
20230103:0610,0.0,0.0,0.0,0.0,7.76,3.52,0.0
20230103:0710,13.0,13.33,0.0,3.16,6.84,3.52,0.0
20230103:0810,89.01,46.0,0.0,9.56,7.21,3.59,0.0
20230103:0910,88.01,98.0,0.0,14.21,7.92,3.24,0.0
20230103:1010,103.01,119.0,0.0,16.73,8.44,3.66,0.0
20230103:1110,71.0,131.0,0.0,16.87,8.91,4.34,0.0
20230103:1210,191.01,49.0,0.0,14.64,8.94,4.0,0.0
20230103:1310,113.01,40.0,0.0,10.23,8.7,3.66,0.0
20230103:1410,8.0,21.14,0.0,4.03,7.86,3.1,0.0
20230103:1510,0.0,0.0,0.0,0.0,6.94,2.62,0.0
20230103:1610,0.0,0.0,0.0,0.0,6.12,2.28,0.0
20230103:1710,0.0,0.0,0.0,0.0,5.47,2.07,0.0
20230103:1810,0.0,0.0,0.0,0.0,5.25,2.0,0.0
20230103:1910,0.0,0.0,0.0,0.0,4.44,2.41,0.0
20230103:2010,0.0,0.0,0.0,0.0,3.99,2.41,0.0
20230103:2110,0.0,0.0,0.0,0.0,3.73,2.34,0.0
20230103:2210,0.0,0.0,0.0,0.0,3.28,2.28,0.0
20230103:2310,0.0,0.0,0.0,0.0,2.53,2.21,0.0
20230104:0010,0.0,0.0,0.0,0.0,2.14,1.93,0.0
20230104:0110,0.0,0.0,0.0,0.0,2.14,1.52,0.0
20230104:0210,0.0,0.0,0.0,0.0,2.33,1.24,0.0
20230104:0310,0.0,0.0,0.0,0.0,2.16,1.1,0.0
20230104:0410,0.0,0.0,0.0,0.0,2.33,0.97,0.0
20230104:0510,0.0,0.0,0.0,0.0,2.07,1.03,0.0
20230104:0610,0.0,0.0,0.0,0.0,1.72,1.38,0.0
20230104:0710,6.0,16.63,0.0,3.19,1.42,2.0,0.0
20230104:0810,61.01,62.0,0.0,9.61,1.76,1.66,0.0
20230104:0910,148.01,70.0,0.0,14.28,3.1,1.79,0.0
20230104:1010,220.01,59.0,0.0,16.82,4.42,2.0,0.0
20230104:1110,206.01,69.0,0.0,16.98,5.53,2.62,0.0
20230104:1210,113.01,94.0,0.0,14.76,5.99,3.03,0.0
20230104:1310,5.0,70.0,0.0,10.36,6.16,4.07,0.0
20230104:1410,7.0,23.29,0.0,4.16,5.98,4.41,0.0
20230104:1510,0.0,0.0,0.0,0.0,5.71,4.83,0.0
20230104:1610,0.0,0.0,0.0,0.0,5.84,5.31,0.0
20230104:1710,0.0,0.0,0.0,0.0,6.16,5.66,0.0
20230104:1810,0.0,0.0,0.0,0.0,6.49,6.07,0.0
20230104:1910,0.0,0.0,0.0,0.0,6.98,6.83,0.0
20230104:2010,0.0,0.0,0.0,0.0,7.14,7.03,0.0
20230104:2110,0.0,0.0,0.0,0.0,7.39,7.24,0.0
20230104:2210,0.0,0.0,0.0,0.0,7.65,7.31,0.0
20230104:2310,0.0,0.0,0.0,0.0,7.81,7.24,0.0
20230105:0010,0.0,0.0,0.0,0.0,8.02,7.45,0.0
20230105:0110,0.0,0.0,0.0,0.0,8.35,7.45,0.0
20230105:0210,0.0,0.0,0.0,0.0,8.49,7.66,0.0
20230105:0310,0.0,0.0,0.0,0.0,8.74,7.72,0.0
20230105:0410,0.0,0.0,0.0,0.0,8.61,7.93,0.0
20230105:0510,0.0,0.0,0.0,0.0,8.5,7.72,0.0
20230105:0610,0.0,0.0,0.0,0.0,8.58,7.17,0.0
20230105:0710,0.0,3.0,0.0,3.23,8.5,6.55,0.0
20230105:0810,0.0,14.0,0.0,9.67,8.17,6.14,0.0
20230105:0910,12.0,106.0,0.0,14.36,8.37,6.41,0.0
20230105:1010,1.0,97.0,0.0,16.91,8.53,6.76,0.0
20230105:1110,0.0,49.0,0.0,17.1,8.57,7.24,0.0
20230105:1210,0.0,60.0,0.0,14.89,8.57,6.9,0.0
20230105:1310,8.0,72.0,0.0,10.5,8.44,7.1,0.0
20230105:1410,0.0,6.0,0.0,4.31,7.75,7.03,0.0
20230105:1510,0.0,0.0,0.0,0.0,7.19,6.62,0.0
20230105:1610,0.0,0.0,0.0,0.0,6.56,7.1,0.0
20230105:1710,0.0,0.0,0.0,0.0,5.98,7.45,0.0
20230105:1810,0.0,0.0,0.0,0.0,5.66,7.38,0.0
20230105:1910,0.0,0.0,0.0,0.0,5.76,7.38,0.0
20230105:2010,0.0,0.0,0.0,0.0,5.4,7.1,0.0
20230105:2110,0.0,0.0,0.0,0.0,5.02,6.55,0.0
20230105:2210,0.0,0.0,0.0,0.0,4.76,6.34,0.0
20230105:2310,0.0,0.0,0.0,0.0,4.43,6.14,0.0
20230106:0010,0.0,0.0,0.0,0.0,4.07,5.86,0.0
20230106:0110,0.0,0.0,0.0,0.0,3.71,5.38,0.0
20230106:0210,0.0,0.0,0.0,0.0,3.38,4.97,0.0
20230106:0310,0.0,0.0,0.0,0.0,3.05,4.55,0.0
20230106:0410,0.0,0.0,0.0,0.0,2.52,3.66,0.0
20230106:0510,0.0,0.0,0.0,0.0,2.39,3.17,0.0
20230106:0610,0.0,0.0,0.0,0.0,2.14,2.55,0.0
20230106:0710,0.0,9.0,0.0,3.28,2.47,2.34,0.0
20230106:0810,85.01,50.0,0.0,9.74,2.68,2.62,0.0
20230106:0910,8.0,101.0,0.0,14.44,3.11,2.83,0.0
20230106:1010,9.0,124.0,0.0,17.02,3.56,3.17,0.0
20230106:1110,11.0,126.0,0.0,17.22,3.87,3.31,0.0
20230106:1210,13.0,112.0,0.0,15.03,4.46,3.03,0.0
20230106:1310,14.0,78.0,0.0,10.65,4.88,2.48,0.0
20230106:1410,0.0,20.0,0.0,4.46,4.69,1.31,0.0
20230106:1510,0.0,0.0,0.0,0.0,4.37,1.45,0.0
20230106:1610,0.0,0.0,0.0,0.0,4.28,1.52,0.0
20230106:1710,0.0,0.0,0.0,0.0,4.42,1.72,0.0
20230106:1810,0.0,0.0,0.0,0.0,4.68,2.14,0.0
20230106:1910,0.0,0.0,0.0,0.0,5.6,3.45,0.0
20230106:2010,0.0,0.0,0.0,0.0,6.23,4.55,0.0
20230106:2110,0.0,0.0,0.0,0.0,7.08,4.9,0.0
20230106:2210,0.0,0.0,0.0,0.0,7.26,4.48,0.0
20230106:2310,0.0,0.0,0.0,0.0,7.07,4.21,0.0
20230107:0010,0.0,0.0,0.0,0.0,6.85,3.93,0.0
20230107:0110,0.0,0.0,0.0,0.0,6.84,3.59,0.0
20230107:0210,0.0,0.0,0.0,0.0,6.87,3.17,0.0
20230107:0310,0.0,0.0,0.0,0.0,6.79,2.83,0.0
20230107:0410,0.0,0.0,0.0,0.0,6.7,2.62,0.0
20230107:0510,0.0,0.0,0.0,0.0,6.63,2.41,0.0
20230107:0610,0.0,0.0,0.0,0.0,6.53,2.14,0.0
