Latitude (decimal degrees): 50.062
Longitude (decimal degrees): 19.937
Elevation (m): 218.0
Irradiance Time Offset (h): 0.1811
month,year
1,2005
2,2014
3,2010
4,2006
5,2010
6,2021
7,2022
8,2020
9,2014
10,2008
11,2020
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,-0.81,87.42,0.0,-0.0,0.0,288.51,2.11,232.0,98820.0
20050101:0100,-0.22,87.91,0.0,-0.0,0.0,298.52,2.26,234.0,98810.0
20050101:0200,0.37,88.4,0.0,-0.0,0.0,308.54,2.4,234.0,98780.0
20050101:0300,0.96,88.89,0.0,-0.0,0.0,318.56,2.54,235.0,98730.0
20050101:0400,1.55,89.38,0.0,-0.0,0.0,328.57,2.68,237.0,98700.0
20050101:0500,2.13,89.87,0.0,-0.0,0.0,338.59,2.82,240.0,98690.0
20050101:0600,2.72,90.36,0.0,-0.0,0.0,348.61,2.97,244.0,98690.0
20050101:0700,3.31,90.85,0.0,0.0,0.0,358.62,3.11,248.0,98740.0
20050101:0800,2.94,92.15,38.0,0.0,38.0,323.2,2.9,250.0,98770.0
20050101:0900,3.4,92.15,42.0,0.0,42.0,323.95,2.97,254.0,98770.0
20050101:1000,3.93,92.15,23.0,0.0,23.0,327.05,3.1,257.0,98770.0
20050101:1100,4.37,92.2,65.0,0.0,65.0,325.7,3.17,257.0,98730.0
20050101:1200,4.41,92.2,33.0,0.0,33.0,325.9,3.45,260.0,98690.0
20050101:1300,4.49,95.75,23.0,0.0,23.0,326.5,3.52,263.0,98690.0
20050101:1400,4.28,95.75,6.0,0.0,6.0,325.3,3.45,266.0,98690.0
20050101:1500,4.14,95.75,0.0,-0.0,0.0,327.25,3.31,266.0,98710.0
20050101:1600,4.08,99.4,0.0,-0.0,0.0,326.5,3.24,266.0,98720.0
20050101:1700,3.88,99.4,0.0,-0.0,0.0,327.45,3.03,266.0,98710.0
20050101:1800,3.62,95.7,0.0,-0.0,0.0,322.4,2.97,264.0,98730.0
20050101:1900,3.81,99.4,0.0,-0.0,0.0,324.35,3.03,265.0,98720.0
20050101:2000,3.8,99.4,0.0,-0.0,0.0,326.5,2.97,265.0,98710.0
20050101:2100,3.73,99.4,0.0,-0.0,0.0,325.5,2.76,264.0,98670.0
20050101:2200,3.67,99.4,0.0,-0.0,0.0,326.5,2.62,260.0,98640.0
20050101:2300,3.59,95.7,0.0,-0.0,0.0,326.3,2.62,257.0,98560.0
20050102:0000,3.52,99.4,0.0,-0.0,0.0,325.7,2.62,252.0,98480.0
20050102:0100,3.36,95.7,0.0,-0.0,0.0,312.85,2.97,249.0,98430.0
20050102:0200,3.19,92.15,0.0,-0.0,0.0,312.95,3.45,247.0,98390.0
20050102:0300,2.66,92.15,0.0,-0.0,0.0,293.2,3.59,239.0,98300.0
20050102:0400,2.18,88.65,0.0,-0.0,0.0,279.05,3.38,229.0,98220.0
20050102:0500,2.38,88.65,0.0,-0.0,0.0,296.85,3.52,225.0,98120.0
20050102:0600,2.72,88.65,0.0,-0.0,0.0,294.15,4.0,227.0,98040.0
20050102:0700,3.97,85.45,0.0,0.0,0.0,296.65,4.97,235.0,97910.0
20050102:0800,4.81,82.35,110.0,459.77,34.0,293.6,5.03,238.0,97870.0
20050102:0900,5.52,82.4,91.0,16.37,87.0,276.95,5.24,242.0,97840.0
20050102:1000,6.04,82.5,26.0,0.0,26.0,320.1,5.59,245.0,97820.0
20050102:1100,5.73,85.65,43.0,0.0,43.0,328.8,5.72,247.0,97790.0
20050102:1200,5.49,92.25,24.0,0.0,24.0,329.0,5.72,256.0,97800.0
20050102:1300,5.62,92.3,30.0,0.0,30.0,330.75,5.24,270.0,97850.0
20050102:1400,5.53,92.25,20.0,0.0,20.0,322.6,4.83,281.0,97870.0
20050102:1500,4.79,88.85,0.0,-0.0,0.0,315.25,5.17,288.0,97960.0
20050102:1600,3.87,85.45,0.0,-0.0,0.0,291.25,5.03,285.0,98070.0
20050102:1700,2.97,85.35,0.0,-0.0,0.0,258.35,4.83,280.0,98140.0
20050102:1800,2.3,82.05,0.0,-0.0,0.0,246.95,4.83,278.0,98200.0
20050102:1900,1.77,73.0,0.0,-0.0,0.0,228.55,4.62,274.0,98300.0
20050102:2000,1.32,72.95,0.0,-0.0,0.0,229.7,4.55,268.0,98320.0
20050102:2100,1.05,75.75,0.0,-0.0,0.0,225.25,4.69,267.0,98360.0
20050102:2200,0.87,75.75,0.0,-0.0,0.0,226.6,5.03,268.0,98350.0
20050102:2300,0.67,75.75,0.0,-0.0,0.0,225.25,5.45,269.0,98380.0
20050103:0000,0.4,75.7,0.0,-0.0,0.0,223.5,5.66,270.0,98400.0
20050103:0100,0.21,72.75,0.0,-0.0,0.0,227.1,5.59,266.0,98420.0
20050103:0200,0.12,72.75,0.0,-0.0,0.0,230.3,5.59,262.0,98450.0
20050103:0300,0.14,69.95,0.0,-0.0,0.0,232.6,5.66,258.0,98430.0
20050103:0400,0.58,67.3,0.0,-0.0,0.0,267.45,5.86,257.0,98400.0
20050103:0500,0.88,67.3,0.0,-0.0,0.0,279.85,6.07,256.0,98420.0
20050103:0600,1.19,64.8,0.0,-0.0,0.0,296.1,6.28,254.0,98410.0
20050103:0700,0.81,70.05,0.0,0.0,0.0,245.6,6.62,253.0,98430.0
20050103:0800,1.16,70.1,85.0,180.66,55.0,265.5,6.62,256.0,98440.0
20050103:0900,1.32,72.95,39.0,0.0,39.0,281.75,6.0,259.0,98470.0
20050103:1000,1.38,78.9,124.0,27.8,116.0,287.75,5.17,257.0,98490.0
20050103:1100,1.87,78.95,99.0,3.44,98.0,272.85,5.93,264.0,98480.0
20050103:1200,1.99,82.05,122.0,35.61,113.0,280.05,5.24,265.0,98490.0
